text,category
Unë jam ende duke pritur në kartën time?,card_arrival
Çfarë mund të bëj nëse karta ime nuk ka ardhur ende pas 2 javësh?,card_arrival
Unë kam pritur më shumë se një javë. A po vjen akoma karta?,card_arrival
A mund ta gjurmoj kartën time ndërkohë që është në procesin e dorëzimit?,card_arrival
"Si mund ta di nëse do ta marr kartën time, apo nëse ajo ka humbur?",card_arrival
Kur ma dërgove kartën time të re?,card_arrival
A keni informacion për kartën në dorëzim?,card_arrival
Çfarë duhet të bëj nëse ende nuk e kam marrë kartën time të re?,card_arrival
A ka paketa me kartën time gjurmim?,card_arrival
"Kam porositur kartën time, por ende nuk është këtu",card_arrival
Pse nuk ka ardhur ende karta ime e re?,card_arrival
"Ende nuk e kam marrë kartën pas dy javësh, a ka humbur?",card_arrival
Mund të gjurmoni kartën time për mua?,card_arrival
A ka ndonjë mënyrë për të gjurmuar dorëzimin e kartës sime?,card_arrival
Ka një javë që kam porositur kartën time dhe nuk është këtu. Ju lutem ndihmë?,card_arrival
A do të jem në gjendje të gjurmoj kartën që më është dërguar?,card_arrival
Unë nuk e kam kartën time për 1 javë. A duhet të shqetësohem?,card_arrival
Si mund ta di se kur do të vijë karta ime e re?,card_arrival
Karta ime e re nuk është dorëzuar ende në shtëpinë time. Cfare po ndodh?,card_arrival
Ka një javë që më keni lëshuar një kartë dhe ende nuk e kam marrë. A duhet të vazhdoj të pres?,card_arrival
"Në kartën që po vjen, cili është informacioni i gjurmimit?",card_arrival
Cili është statusi i dorëzimit të kartës sime?,card_arrival
E ke dërguar akoma kartën time?,card_arrival
Karta ime nuk është ende këtu.,card_arrival
ku është karta ime e re?,card_arrival
Ka një javë që më dërgove kartën dhe unë ende nuk e kam.,card_arrival
Si ta gjurmoj kartën që më dërgove?,card_arrival
Kur do ta marr kartën time të re?,card_arrival
Kur do ta marr kartën time të re?,card_arrival
Cila është data e pritshme e dorëzimit për kartën time?,card_arrival
A ka një numër përcjellës për kartën që më dërgove?,card_arrival
Do të doja të gjurmoja kartën që më dërgove.,card_arrival
A ka humbur kartela ime gjatë dorëzimit?,card_arrival
Karta ime e re nuk ka hyrë.,card_arrival
Ku është karta që kam porositur 2 javë më parë?,card_arrival
A mund të marr një përditësim për kartën time të zëvendësimit?,card_arrival
Sa kohë duhet që një kartë e re të dërgohet?,card_arrival
Cili është gjurmimi në kartën që dërgove?,card_arrival
Unë nuk e kam marrë kartën time dhe jam i shqetësuar se ka humbur.,card_arrival
Karta ime ende nuk është dorëzuar,card_arrival
Më duhet të zbuloj se ku është karta që kam porositur.,card_arrival
Ku është karta ime e kreditit që do të dërgohej me postë?,card_arrival
"Kam porositur kartën time, por ende nuk është dorëzuar",card_arrival
A mund të gjurmoj kartën që sapo më është dërguar?,card_arrival
Mund të më thoni pse nuk e kam marrë kartën time të re?,card_arrival
Unë jam ende duke pritur për kartën time të re.,card_arrival
A ka humbur karta ime? Unë jam ende në pritje të dorëzimit.,card_arrival
A duhet të vazhdoj të pres që karta ime të dorëzohet?,card_arrival
A mund të gjurmoj kur do të dorëzohet karta ime?,card_arrival
Si mund të kontrolloj statusin e kartës sime të re?,card_arrival
"Më është dërguar një kartë, si ta gjurmoj?",card_arrival
A ka ndonjë mënyrë për ta përshpejtuar kartën time?,card_arrival
